brand,model,screen_size,color,storage,processor,RAM,os,special_feature,graphics,price
Lenovo,IdeaPad Slim 3,6.67 Inches,Arctic Grey,512 GB,Ryzen 5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio, Memory Card Slot",Integrated,"₹38,990"
Lenovo,LOQ,15.6 Inches,i5-12th | RTX 3050,512 GB,Others,16 GB,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated,"₹64,990"
acer,Aspire Lite,15.6 Inches,Steel Gray,512 GB,Others,16 GB,Windows 11 Home,Lightweight,Integrated,"₹25,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Core i3 Family,12 GB,Windows 11 Home,Anti Glare Coating,Integrated,"₹36,990"
acer,Aspire 3,15.6 Inches,Silver,256 GB,Celeron N,8 GB,Windows 11 Home,Thin,Integrated,"₹19,990"
HP,HP Laptop,39.6 Centimetres,Peformance Blue,,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,"₹34,990"
HP,HP Laptop,39.6 Centimetres,Performance blue,512 GB,,16 GB,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated,"₹1,29,990"
HP,HP Laptop,15.6 Inches,Natural Silve,512 GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,"₹33,990"
HP,HP Laptop,14 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Flicker-free,micro-edge",Dedicated,"₹29,990"
HP,HP Laptop,39.6 Centimetres,Silver,256 GB,Others,8 GB,Windows 11,Anti Glare Coating,Integrated,"₹46,990"
Lenovo,IdeaPad Slim 3,15.6 Inches,Arctic Grey,512 GB,Core i5,16 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,"₹34,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,512 GB,Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated,"₹98,490"
